"","region","avgrate25","avgrate25_min","wavgrate25","wavgrate25_min","count25","avgrate10","wavgrate10","count10","avgrate00","wavgrate00","count00","avgrate90","wavgrate90","count90","avgrate80","wavgrate80","count80"
"1","Africa",27.1798039215686,27.1798039215686,27.6904533389446,27.6904533389446,51,28.2512195121951,29.3549566091091,41,33.2052631578947,35.6457003611906,38,44.4736842105263,44.7855350939629,19,44.2764705882353,44.1849830410727,17
"2","Asia",19.7370212765957,20.2902127659574,25.096330375806,25.2041911509579,47,20.7162222222222,27.7668421440796,45,28.5610526315789,35.5346006440784,38,35.674,45.002498303114,20,38.6,44.6425055657765,17
"3","BRICS",28.2,28.2,26.5603451952264,26.5603451952264,5,29.508,27.2691671437909,5,36.26,35.1765422891039,5,41,37.4885974398228,5,48.05,44.3900336005018,4
"4","EU27",21.8062393333333,22.3988319259259,26.9554144038566,27.1262717627337,27,22.866107037037,28.9129200326097,27,32.6244444444444,40.1342775201623,27,41.755965909375,45.3544120129063,16,43.7777777777778,45.9645571231709,9
"5","Europe",20.6506739230769,21.1891354615385,26.0648956074244,26.1914560105993,39,21.0656237948718,27.6899811640731,39,31.1523684210526,37.6616429745166,38,40.9245996855,42.3621396147999,20,44.6,47.6536981060689,10
"6","G20",27.8783856842105,27.8783856842105,26.9682221989521,26.9682221989521,19,29.6784415789474,32.9759345457165,19,37.2515789473684,38.8948788302358,19,40.4134385029412,41.6521224873003,17,46.2415833333333,48.2166174204114,12
"7","G7",28.6127611428571,28.6127611428571,27.2785446733813,27.2785446733813,7,33.1643414285714,36.3177268324325,7,40.5257142857143,40.3717091045698,7,43.8612077928571,42.9810251914329,7,50.5663333333333,50.0138026662049,3
"8","North America",25.58545275,26.46045275,25.9047663730915,25.9134357400139,24,27.4754565217391,37.8100277122905,23,29.6238095238095,39.1712801705706,21,34.7057222222222,38.5759389343356,18,39.2642142857143,48.8672063826527,14
"9","Oceania",24.375,24.375,29.7160998788883,29.7160998788883,8,25,29.975680146399,7,27.6666666666667,33.7627614493128,6,30.5,38.0959145482124,7,34.5714285714286,45.6581426924877,7
"10","OECD",24.1991355,24.4228197105263,26.5853350517572,26.625856399491,38,25.4974954736842,33.6099557454748,38,32.4007894736842,38.4549101704766,38,39.8682689888462,42.0341516366378,26,45.8199333333333,48.47369745968,15
"11","South America",28.375,28.375,32.6616703082785,32.6616703082785,12,27.5454545454545,32.2990734948127,11,31.5833333333333,34.3159160063332,12,30.9090909090909,29.9042211449266,11,36.66,36.8373513638088,10
"12","World",23.5841831436464,23.9598737513812,26.0405377114759,26.1152916358715,181,24.2290652289157,31.1008667339288,166,30.7059477124183,37.3338967827472,153,37.4228946706316,40.8987202479132,95,40.1759866666667,46.6568236345154,75
